"id","family","rust_path","kind","source","line","classification","go_mapping","evidence","rationale"
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:213:assoc_const:v8::v8_GCType::kGCTypeProcessWeakCallbacks","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_GCType::kGCTypeProcessWeakCallbacks","assoc_const","generated/src_binding_release_x86_64-pc-windows-msvc.rs","213","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:214:assoc_const:v8::v8_GCType::kGCTypeAll","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_GCType::kGCTypeAll","assoc_const","generated/src_binding_release_x86_64-pc-windows-msvc.rs","214","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:245:struct:v8::binding::v8_GCType","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::binding::v8_GCType","struct","generated/src_binding_release_x86_64-pc-windows-msvc.rs","245","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:245:struct_field:v8::v8_GCType::0","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_GCType::0","struct_field","generated/src_binding_release_x86_64-pc-windows-msvc.rs","245","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:247:assoc_const:v8::v8_GCCallbackFlags::kNoGCCallbackFlags","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_GCCallbackFlags::kNoGCCallbackFlags","assoc_const","generated/src_binding_release_x86_64-pc-windows-msvc.rs","247","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:248:assoc_const:v8::v8_GCCallbackFlags::kGCCallbackFlagConstructRetainedObjectInfos","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_GCCallbackFlags::kGCCallbackFlagConstructRetainedObjectInfos","assoc_const","generated/src_binding_release_x86_64-pc-windows-msvc.rs","248","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:250:assoc_const:v8::v8_GCCallbackFlags::kGCCallbackFlagForced","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_GCCallbackFlags::kGCCallbackFlagForced","assoc_const","generated/src_binding_release_x86_64-pc-windows-msvc.rs","250","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:251:assoc_const:v8::v8_GCCallbackFlags::kGCCallbackFlagSynchronousPhantomCallbackProcessing","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_GCCallbackFlags::kGCCallbackFlagSynchronousPhantomCallbackProcessing","assoc_const","generated/src_binding_release_x86_64-pc-windows-msvc.rs","251","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:253:assoc_const:v8::v8_GCCallbackFlags::kGCCallbackFlagCollectAllAvailableGarbage","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_GCCallbackFlags::kGCCallbackFlagCollectAllAvailableGarbage","assoc_const","generated/src_binding_release_x86_64-pc-windows-msvc.rs","253","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:255:assoc_const:v8::v8_GCCallbackFlags::kGCCallbackFlagCollectAllExternalMemory","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_GCCallbackFlags::kGCCallbackFlagCollectAllExternalMemory","assoc_const","generated/src_binding_release_x86_64-pc-windows-msvc.rs","255","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:257:assoc_const:v8::v8_GCCallbackFlags::kGCCallbackScheduleIdleGarbageCollection","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_GCCallbackFlags::kGCCallbackScheduleIdleGarbageCollection","assoc_const","generated/src_binding_release_x86_64-pc-windows-msvc.rs","257","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:259:assoc_const:v8::v8_GCCallbackFlags::kGCCallbackFlagLastResort","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_GCCallbackFlags::kGCCallbackFlagLastResort","assoc_const","generated/src_binding_release_x86_64-pc-windows-msvc.rs","259","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:291:struct:v8::binding::v8_GCCallbackFlags","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::binding::v8_GCCallbackFlags","struct","generated/src_binding_release_x86_64-pc-windows-msvc.rs","291","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:291:struct_field:v8::v8_GCCallbackFlags::0","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::v8_GCCallbackFlags::0","struct_field","generated/src_binding_release_x86_64-pc-windows-msvc.rs","291","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:295:enum:v8::binding::v8_ModuleImportPhase","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::binding::v8_ModuleImportPhase","enum","generated/src_binding_release_x86_64-pc-windows-msvc.rs","295","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:490:enum:v8::binding::v8_Intercepted","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::binding::v8_Intercepted","enum","generated/src_binding_release_x86_64-pc-windows-msvc.rs","490","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:529:struct:v8::binding::RustObj","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::binding::RustObj","struct","generated/src_binding_release_x86_64-pc-windows-msvc.rs","529","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Generated raw ABI layout, not a public Go ownership surface"
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:530:struct_field:v8::RustObj::_base","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::RustObj::_base","struct_field","generated/src_binding_release_x86_64-pc-windows-msvc.rs","530","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Generated raw ABI layout, not a public Go ownership surface"
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:614:struct:v8::binding::Wrappable","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::binding::Wrappable","struct","generated/src_binding_release_x86_64-pc-windows-msvc.rs","614","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Generated raw ABI layout, not a public Go ownership surface"
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:615:struct_field:v8::Wrappable::_base_1","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::Wrappable::_base_1","struct_field","generated/src_binding_release_x86_64-pc-windows-msvc.rs","615","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Generated raw ABI layout, not a public Go ownership surface"
"generated/src_binding_release_x86_64-pc-windows-msvc.rs:700:enum:v8::binding::UseCounterFeature","generated/src_binding_release_x86_64-pc-windows-msvc.rs","v8::binding::UseCounterFeature","enum","generated/src_binding_release_x86_64-pc-windows-msvc.rs","700","matched","runtime_values.go; object_ops.go","conformance/runtime-values/conformance_test.go; object_ops_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:134:struct:v8::array_buffer::Allocator","src/array_buffer.rs","v8::array_buffer::Allocator","struct","src/array_buffer.rs","134","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:139:struct:v8::array_buffer::RustAllocatorVtable","src/array_buffer.rs","v8::array_buffer::RustAllocatorVtable","struct","src/array_buffer.rs","139","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Raw allocator vtable or caller-owned backing pointer"
"src/array_buffer.rs:140:struct_field:v8::RustAllocatorVtable::allocate","src/array_buffer.rs","v8::RustAllocatorVtable::allocate","struct_field","src/array_buffer.rs","140","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Raw allocator vtable or caller-owned backing pointer"
"src/array_buffer.rs:141:struct_field:v8::RustAllocatorVtable::allocate_uninitialized","src/array_buffer.rs","v8::RustAllocatorVtable::allocate_uninitialized","struct_field","src/array_buffer.rs","141","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Raw allocator vtable or caller-owned backing pointer"
"src/array_buffer.rs:143:struct_field:v8::RustAllocatorVtable::free","src/array_buffer.rs","v8::RustAllocatorVtable::free","struct_field","src/array_buffer.rs","143","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Raw allocator vtable or caller-owned backing pointer"
"src/array_buffer.rs:144:struct_field:v8::RustAllocatorVtable::drop","src/array_buffer.rs","v8::RustAllocatorVtable::drop","struct_field","src/array_buffer.rs","144","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Raw allocator vtable or caller-owned backing pointer"
"src/array_buffer.rs:171:function:v8::array_buffer::new_default_allocator","src/array_buffer.rs","v8::array_buffer::new_default_allocator","function","src/array_buffer.rs","171","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:184:function:v8::array_buffer::new_rust_allocator","src/array_buffer.rs","v8::array_buffer::new_rust_allocator","function","src/array_buffer.rs","184","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:248:type_alias:v8::array_buffer::BackingStoreDeleterCallback","src/array_buffer.rs","v8::array_buffer::BackingStoreDeleterCallback","type_alias","src/array_buffer.rs","248","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:256:trait:v8::array_buffer::sealed::Rawable","src/array_buffer.rs","v8::array_buffer::sealed::Rawable","trait","src/array_buffer.rs","256","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Raw allocator vtable or caller-owned backing pointer"
"src/array_buffer.rs:257:function:v8::Rawable::byte_len","src/array_buffer.rs","v8::Rawable::byte_len","function","src/array_buffer.rs","257","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Raw allocator vtable or caller-owned backing pointer"
"src/array_buffer.rs:258:function:v8::Rawable::into_raw","src/array_buffer.rs","v8::Rawable::into_raw","function","src/array_buffer.rs","258","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Raw allocator vtable or caller-owned backing pointer"
"src/array_buffer.rs:259:function:v8::Rawable::drop_raw","src/array_buffer.rs","v8::Rawable::drop_raw","function","src/array_buffer.rs","259","unsafe","No raw Go equivalent, safe higher-level behavior is exposed where applicable.","API_AUDIT.md#classification-boundary","Raw allocator vtable or caller-owned backing pointer"
"src/array_buffer.rs:360:struct:v8::array_buffer::BackingStore","src/array_buffer.rs","v8::array_buffer::BackingStore","struct","src/array_buffer.rs","360","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:371:function:v8::BackingStore::data","src/array_buffer.rs","v8::BackingStore::data","function","src/array_buffer.rs","371","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:379:function:v8::BackingStore::byte_length","src/array_buffer.rs","v8::BackingStore::byte_length","function","src/array_buffer.rs","379","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:386:function:v8::BackingStore::is_shared","src/array_buffer.rs","v8::BackingStore::is_shared","function","src/array_buffer.rs","386","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:394:function:v8::BackingStore::is_resizable_by_user_javascript","src/array_buffer.rs","v8::BackingStore::is_resizable_by_user_javascript","function","src/array_buffer.rs","394","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:454:function:v8::ArrayBuffer::new","src/array_buffer.rs","v8::ArrayBuffer::new","function","src/array_buffer.rs","454","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:470:function:v8::ArrayBuffer::with_backing_store","src/array_buffer.rs","v8::ArrayBuffer::with_backing_store","function","src/array_buffer.rs","470","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:487:function:v8::ArrayBuffer::byte_length","src/array_buffer.rs","v8::ArrayBuffer::byte_length","function","src/array_buffer.rs","487","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:493:function:v8::ArrayBuffer::is_detachable","src/array_buffer.rs","v8::ArrayBuffer::is_detachable","function","src/array_buffer.rs","493","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:499:function:v8::ArrayBuffer::was_detached","src/array_buffer.rs","v8::ArrayBuffer::was_detached","function","src/array_buffer.rs","499","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:513:function:v8::ArrayBuffer::detach","src/array_buffer.rs","v8::ArrayBuffer::detach","function","src/array_buffer.rs","513","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:526:function:v8::ArrayBuffer::set_detach_key","src/array_buffer.rs","v8::ArrayBuffer::set_detach_key","function","src/array_buffer.rs","526","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:533:function:v8::ArrayBuffer::data","src/array_buffer.rs","v8::ArrayBuffer::data","function","src/array_buffer.rs","533","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:543:function:v8::ArrayBuffer::get_backing_store","src/array_buffer.rs","v8::ArrayBuffer::get_backing_store","function","src/array_buffer.rs","543","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:555:function:v8::ArrayBuffer::new_backing_store","src/array_buffer.rs","v8::ArrayBuffer::new_backing_store","function","src/array_buffer.rs","555","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:578:function:v8::ArrayBuffer::new_backing_store_from_boxed_slice","src/array_buffer.rs","v8::ArrayBuffer::new_backing_store_from_boxed_slice","function","src/array_buffer.rs","578","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:595:function:v8::ArrayBuffer::new_backing_store_from_vec","src/array_buffer.rs","v8::ArrayBuffer::new_backing_store_from_vec","function","src/array_buffer.rs","595","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:624:function:v8::ArrayBuffer::new_backing_store_from_bytes","src/array_buffer.rs","v8::ArrayBuffer::new_backing_store_from_bytes","function","src/array_buffer.rs","624","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:666:function:v8::ArrayBuffer::new_backing_store_from_ptr","src/array_buffer.rs","v8::ArrayBuffer::new_backing_store_from_ptr","function","src/array_buffer.rs","666","matched","buffer.go","buffer_test.go; conformance/buffers/runner_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer.rs:686:function:v8::DataView::new","src/array_buffer.rs","v8::DataView::new","function","src/array_buffer.rs","686","matched","buffer.go; array_buffer_allocator.go","conformance/buffers/runner_test.go; conformance/array-buffer-allocator/conformance_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer_view.rs:37:function:v8::ArrayBufferView::buffer","src/array_buffer_view.rs","v8::ArrayBufferView::buffer","function","src/array_buffer_view.rs","37","matched","buffer.go; typed_arrays.go","conformance/buffers/runner_test.go; conformance/typed-arrays/runner_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer_view.rs:45:function:v8::ArrayBufferView::has_buffer","src/array_buffer_view.rs","v8::ArrayBufferView::has_buffer","function","src/array_buffer_view.rs","45","matched","buffer.go; typed_arrays.go","conformance/buffers/runner_test.go; conformance/typed-arrays/runner_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer_view.rs:54:function:v8::ArrayBufferView::get_backing_store","src/array_buffer_view.rs","v8::ArrayBufferView::get_backing_store","function","src/array_buffer_view.rs","54","matched","buffer.go; typed_arrays.go","conformance/buffers/runner_test.go; conformance/typed-arrays/runner_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer_view.rs:63:function:v8::ArrayBufferView::data","src/array_buffer_view.rs","v8::ArrayBufferView::data","function","src/array_buffer_view.rs","63","matched","buffer.go; typed_arrays.go","conformance/buffers/runner_test.go; conformance/typed-arrays/runner_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer_view.rs:72:function:v8::ArrayBufferView::byte_length","src/array_buffer_view.rs","v8::ArrayBufferView::byte_length","function","src/array_buffer_view.rs","72","matched","buffer.go; typed_arrays.go","conformance/buffers/runner_test.go; conformance/typed-arrays/runner_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer_view.rs:78:function:v8::ArrayBufferView::byte_offset","src/array_buffer_view.rs","v8::ArrayBufferView::byte_offset","function","src/array_buffer_view.rs","78","matched","buffer.go; typed_arrays.go","conformance/buffers/runner_test.go; conformance/typed-arrays/runner_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer_view.rs:87:function:v8::ArrayBufferView::copy_contents","src/array_buffer_view.rs","v8::ArrayBufferView::copy_contents","function","src/array_buffer_view.rs","87","matched","buffer.go; typed_arrays.go","conformance/buffers/runner_test.go; conformance/typed-arrays/runner_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer_view.rs:102:function:v8::ArrayBufferView::copy_contents_uninit","src/array_buffer_view.rs","v8::ArrayBufferView::copy_contents_uninit","function","src/array_buffer_view.rs","102","matched","buffer.go; typed_arrays.go","conformance/buffers/runner_test.go; conformance/typed-arrays/runner_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer_view.rs:118:function:v8::ArrayBufferView::get_contents_raw_parts","src/array_buffer_view.rs","v8::ArrayBufferView::get_contents_raw_parts","function","src/array_buffer_view.rs","118","matched","buffer.go; typed_arrays.go","conformance/buffers/runner_test.go; conformance/typed-arrays/runner_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/array_buffer_view.rs:140:function:v8::ArrayBufferView::get_contents","src/array_buffer_view.rs","v8::ArrayBufferView::get_contents","function","src/array_buffer_view.rs","140","matched","buffer.go; typed_arrays.go","conformance/buffers/runner_test.go; conformance/typed-arrays/runner_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/bigint.rs:35:function:v8::BigInt::new_from_i64","src/bigint.rs","v8::BigInt::new_from_i64","function","src/bigint.rs","35","matched","strings_bigint.go","conformance/strings-bigint/runner_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/bigint.rs:46:function:v8::BigInt::new_from_u64","src/bigint.rs","v8::BigInt::new_from_u64","function","src/bigint.rs","46","matched","strings_bigint.go","conformance/strings-bigint/runner_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
"src/bigint.rs:64:function:v8::BigInt::new_from_words","src/bigint.rs","v8::BigInt::new_from_words","function","src/bigint.rs","64","matched","strings_bigint.go","conformance/strings-bigint/runner_test.go","Safe observable behavior is represented by the cited Go API and executable evidence."
